0.8
Epoch 1: Train Loss 0.014539331943437447, Test Loss 1.0938535478119478, Test Accuracy 60.99416103257529, Dropout Probability 0.3
Using downloaded and verified file: ../data/train_32x32.mat
Using downloaded and verified file: ../data/test_32x32.mat
Starting training at: 1716314186.1128
Epoch 23: Train Loss 0.00018672796882925616, Test Loss 0.4747389211344001, Test Accuracy 91.50276582667486, Dropout Probability 0.3
Epoch 23: Train Loss 0.00020623236756524356, Test Loss 0.473600575142868, Test Accuracy 91.1762446220037, Dropout Probability 0.1
Epoch 22: Train Loss 0.0003417308714367361, Test Loss 0.442374045378457, Test Accuracy 92.10971112476952, Dropout Probability 0.8
Epoch 24: Train Loss 0.00019253471200882054, Test Loss 0.44206011419876556, Test Accuracy 91.78703134603565, Dropout Probability 0.3
Epoch 24: Train Loss 0.00019011343174212545, Test Loss 0.4641463661311079, Test Accuracy 91.4758758451137, Dropout Probability 0.1
Epoch 23: Train Loss 0.0003355970703882491, Test Loss 0.4724807446180272, Test Accuracy 91.09941610325752, Dropout Probability 0.8
Epoch 25: Train Loss 0.00016380303482083932, Test Loss 0.44811616005454974, Test Accuracy 91.30301167793485, Dropout Probability 0.3
Epoch 25: Train Loss 0.00018707223696745948, Test Loss 0.4835156679299981, Test Accuracy 91.60264290104487, Dropout Probability 0.1
Epoch 24: Train Loss 0.00031590456038036916, Test Loss 0.4864668497368098, Test Accuracy 91.38368162261831, Dropout Probability 0.8
Epoch 26: Train Loss 0.0001739228485086977, Test Loss 0.47448436570592506, Test Accuracy 91.77550706822373, Dropout Probability 0.3
Epoch 26: Train Loss 0.00016763890003292095, Test Loss 0.44524372583821864, Test Accuracy 91.79855562384758, Dropout Probability 0.1
Epoch 25: Train Loss 0.0002769704600518768, Test Loss 0.47152532414563536, Test Accuracy 91.86770129071911, Dropout Probability 0.8
Epoch 27: Train Loss 0.0001515226237028683, Test Loss 0.4533793526188171, Test Accuracy 91.5219729563614, Dropout Probability 0.3
Epoch 27: Train Loss 0.0001771800506699121, Test Loss 0.46217483820619215, Test Accuracy 91.57575291948372, Dropout Probability 0.1
Epoch 26: Train Loss 0.0002599438052789836, Test Loss 0.45132079180135415, Test Accuracy 92.14044253226798, Dropout Probability 0.8
Epoch 28: Train Loss 0.000140786538142014, Test Loss 0.4481266938475062, Test Accuracy 91.9099569760295, Dropout Probability 0.3
Epoch 28: Train Loss 0.00015103384675950134, Test Loss 0.43694279160174254, Test Accuracy 91.98678549477566, Dropout Probability 0.1
Epoch 27: Train Loss 0.00024803245397152056, Test Loss 0.45796394582606564, Test Accuracy 91.67947141979103, Dropout Probability 0.8
Epoch 29: Train Loss 0.0001419247378270888, Test Loss 0.456122711383278, Test Accuracy 91.87922556853104, Dropout Probability 0.3
Epoch 29: Train Loss 0.00013662494773254553, Test Loss 0.4668098114426325, Test Accuracy 91.75245851259987, Dropout Probability 0.1
Epoch 28: Train Loss 0.00022037637277456343, Test Loss 0.49770474683014837, Test Accuracy 91.99062692071297, Dropout Probability 0.8
