bandwidthTest-D2D-kernel3-char, Bandwidth = 218.0 GB/s, Time = 0.00000 s, Size = 600000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 251.4 GB/s, Time = 0.00000 s, Size = 700000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 362.3 GB/s, Time = 0.00000 s, Size = 800000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 351.6 GB/s, Time = 0.00000 s, Size = 900000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 425.2 GB/s, Time = 0.00000 s, Size = 1000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 466.4 GB/s, Time = 0.00000 s, Size = 2000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 488.3 GB/s, Time = 0.00001 s, Size = 3000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 469.9 GB/s, Time = 0.00001 s, Size = 4000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 488.3 GB/s, Time = 0.00001 s, Size = 5000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 488.3 GB/s, Time = 0.00001 s, Size = 6000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 488.3 GB/s, Time = 0.00001 s, Size = 7000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 500.5 GB/s, Time = 0.00002 s, Size = 8000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 512.8 GB/s, Time = 0.00002 s, Size = 9000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 521.3 GB/s, Time = 0.00002 s, Size = 10000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 520.0 GB/s, Time = 0.00002 s, Size = 11000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 516.9 GB/s, Time = 0.00002 s, Size = 12000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 528.3 GB/s, Time = 0.00002 s, Size = 13000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 521.8 GB/s, Time = 0.00003 s, Size = 14000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 513.7 GB/s, Time = 0.00003 s, Size = 15000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 506.1 GB/s, Time = 0.00003 s, Size = 16000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 504.7 GB/s, Time = 0.00004 s, Size = 18000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 508.3 GB/s, Time = 0.00004 s, Size = 20000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 499.6 GB/s, Time = 0.00004 s, Size = 22000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 511.1 GB/s, Time = 0.00005 s, Size = 24000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 505.1 GB/s, Time = 0.00005 s, Size = 26000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 509.6 GB/s, Time = 0.00005 s, Size = 28000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 512.0 GB/s, Time = 0.00006 s, Size = 30000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 512.3 GB/s, Time = 0.00006 s, Size = 32000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 510.4 GB/s, Time = 0.00007 s, Size = 36000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 516.0 GB/s, Time = 0.00008 s, Size = 40000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 500.5 GB/s, Time = 0.00009 s, Size = 44000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 521.9 GB/s, Time = 0.00009 s, Size = 48000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 519.9 GB/s, Time = 0.00010 s, Size = 52000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 519.5 GB/s, Time = 0.00011 s, Size = 56000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 523.2 GB/s, Time = 0.00011 s, Size = 60000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 529.8 GB/s, Time = 0.00012 s, Size = 64000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 527.4 GB/s, Time = 0.00014 s, Size = 72000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 531.5 GB/s, Time = 0.00015 s, Size = 80000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 523.7 GB/s, Time = 0.00017 s, Size = 88000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 532.7 GB/s, Time = 0.00018 s, Size = 96000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 533.7 GB/s, Time = 0.00019 s, Size = 104000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 533.7 GB/s, Time = 0.00021 s, Size = 112000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 536.9 GB/s, Time = 0.00022 s, Size = 120000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 538.8 GB/s, Time = 0.00024 s, Size = 128000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 539.1 GB/s, Time = 0.00026 s, Size = 141000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 535.2 GB/s, Time = 0.00029 s, Size = 154000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 538.1 GB/s, Time = 0.00031 s, Size = 167000000 bytes, NumDevsUsed = 1
